City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
381,chake chake,-5.2459,39.7666,22.61,79,12,3.13,TZ,1726965371
382,tallahassee,30.4383,-84.2807,26.29,84,15,2.09,US,1726965303
383,chernigovka,44.3389,132.5728,12.33,59,6,3.5,RU,1726965373
384,kinkala,-4.3614,14.7644,22.92,83,100,2.35,CG,1726965375
385,sosnovka,56.255,51.2842,11.4,69,100,4.72,RU,1726965376
386,east london,-33.0153,27.9116,14.3,76,15,2.28,ZA,1726965377
387,chakia,26.4167,85.05,27.15,79,8,2.5,IN,1726965379
388,carpi centro,44.7824,10.8777,16.42,92,99,0.95,IT,1726965380
389,kerikeri,-35.2268,173.9474,20.89,43,4,3.0,NZ,1726965381
390,ellsworth,44.5434,-68.4195,14.18,85,100,0.0,US,1726965295
391,envira,-7.3,-70.2167,27.8,53,19,1.45,BR,1726965384
392,lebanon,36.2081,-86.2911,26.23,80,95,2.16,US,1726965386
393,kavieng,-2.5744,150.7967,29.37,72,100,3.28,PG,1726965387
394,berezovyy,51.6667,135.7,13.68,43,0,1.5,RU,1726965389
395,tofol,5.3248,163.0078,28.78,69,90,3.12,FM,1726965390
396,rechytsa,52.3617,30.3916,11.22,65,14,2.62,BY,1726965391
397,prieska,-29.6641,22.7474,7.83,78,5,4.77,ZA,1726965393
398,ostrow mazowiecka,52.8024,21.8951,12.97,62,58,2.06,PL,1726965394
399,pindamonhangaba,-22.9239,-45.4617,19.44,97,100,2.82,BR,1726965174
400,grootfontein,-19.5667,18.1167,16.76,25,27,1.54,NA,1726965397
401,penzance,50.1186,-5.5371,15.38,94,94,3.21,GB,1726965159
402,dakhla,23.6848,-15.958,21.01,83,100,9.26,EH,1726965399
403,howard springs,-12.497,131.047,30.49,69,25,2.4,AU,1726965400
404,berlin,52.5244,13.4105,15.04,75,0,2.57,DE,1726965086
405,hami,42.8,93.45,22.44,16,100,4.13,CN,1726965403
406,oriximina,-1.7656,-55.8661,29.75,48,7,1.44,BR,1726965404
407,oamaru,-45.0784,170.9801,17.43,49,11,3.33,NZ,1726965407
408,korhogo,9.45,-5.6333,22.17,96,13,1.24,CI,1726965408
409,pedersore,63.65,22.6833,-1.93,65,3,3.44,FI,1726965409
410,souillac,-20.5167,57.5167,21.21,88,20,2.57,MU,1726965412
411,akonolinga,3.7667,12.25,19.6,100,100,0.93,CM,1726965413
412,port shepstone,-30.7414,30.455,15.27,71,96,1.59,ZA,1726965414
413,homer,59.6425,-151.5483,12.09,58,0,2.06,US,1726965415
414,newman,37.3138,-121.0208,31.14,40,0,2.68,US,1726965418
415,sao jose da coroa grande,-8.8978,-35.1478,24.04,78,10,4.43,BR,1726965419
416,timbuktu,16.7735,-3.0074,32.94,45,20,2.27,ML,1726965420
417,colonia,50.9333,6.95,14.42,86,0,2.06,DE,1726965357
418,moroeni,45.2167,25.4333,10.52,75,2,3.33,RO,1726965423
419,box elder,41.5005,-112.8764,21.33,34,8,7.09,US,1726965424
